Student_ID,Skill_Name,Skill_Score,Assessment_Score,Course_Completion_Percentage,Learning_Hours,Assignment_Completion_Rate,Login_Frequency,Skill_Category,Proficiency_Level
S016,Cyber Security,78,56,80,148,91,14,Security,Advanced
S016,C++,67,64,51,27,50,16,Programming,Intermediate
S016,Algorithms,67,49,95,153,98,1,Programming,Intermediate
S016,Machine Learning,52,63,59,45,95,27,AI,Intermediate
S016,Git,74,88,84,27,59,4,Tools,Intermediate
S016,Web Development,44,69,99,98,94,6,Development,Beginner
S016,Excel,85,94,50,124,67,7,Visualization,Advanced
S016,Computer Vision,96,44,95,126,66,15,AI,Advanced
S016,Data Structures,48,60,53,137,86,27,Programming,Beginner
S017,Java,54,67,81,147,87,9,Programming,Intermediate
S017,Computer Vision,86,80,59,59,75,25,AI,Advanced
S017,Cloud Computing,52,45,52,113,68,23,Cloud,Intermediate
S017,Tableau,62,84,78,26,88,17,Visualization,Intermediate
S017,Python,95,83,58,131,66,2,Programming,Advanced
S017,Cyber Security,40,42,89,87,91,18,Security,Beginner
S017,Deep Learning,60,49,92,120,54,23,AI,Intermediate
S017,Algorithms,85,100,79,141,96,23,Programming,Advanced
S017,Data Structures,67,90,83,80,66,11,Programming,Intermediate
S017,NLP,84,43,69,47,83,13,AI,Advanced
S018,Computer Vision,49,45,58,25,93,26,AI,Beginner
S018,Machine Learning,80,98,93,186,65,14,AI,Advanced
S018,Cyber Security,68,93,60,75,71,10,Security,Intermediate
S018,Deep Learning,92,88,77,77,51,30,AI,Advanced
S018,Python,87,71,51,158,76,10,Programming,Advanced
S018,Cloud Computing,65,78,83,148,57,10,Cloud,Intermediate
S018,Java,97,78,61,198,54,29,Programming,Advanced
S018,Web Development,85,87,58,47,82,21,Development,Advanced
S018,C++,56,90,89,85,87,29,Programming,Intermediate
S018,Git,97,44,90,52,52,26,Tools,Advanced
S019,Linux,75,81,98,73,51,3,Tools,Advanced
S019,Data Structures,91,56,76,52,78,22,Programming,Advanced
S019,Python,63,96,52,79,56,15,Programming,Intermediate
S019,Machine Learning,52,57,88,131,55,12,AI,Intermediate
S019,Java,78,93,99,82,95,17,Programming,Advanced
S019,Tableau,72,79,90,143,83,4,Visualization,Intermediate
S019,Deep Learning,41,99,69,180,77,19,AI,Beginner
S019,C++,82,41,63,82,100,27,Programming,Advanced
S019,NLP,60,80,64,136,50,20,AI,Intermediate
S019,Computer Vision,66,41,68,73,52,5,AI,Intermediate
S020,NLP,63,68,54,178,55,14,AI,Intermediate
S020,Git,86,66,77,178,60,22,Tools,Advanced
S020,Linux,54,83,67,132,76,22,Tools,Intermediate
S020,Algorithms,80,98,64,187,96,6,Programming,Advanced
S020,Excel,55,41,76,40,76,11,Visualization,Intermediate
S020,Tableau,73,91,57,152,64,11,Visualization,Intermediate
S020,Computer Vision,91,70,59,128,98,23,AI,Advanced
S020,Statistics,63,59,95,178,63,14,Analytics,Intermediate
S020,Python,73,75,96,118,94,15,Programming,Intermediate
S020,Power BI,51,68,100,81,74,22,Visualization,Intermediate
S021,Web Development,40,52,53,96,54,7,Development,Beginner
S021,Power BI,59,54,66,128,91,22,Visualization,Intermediate
S021,Cyber Security,97,83,57,77,54,20,Security,Advanced
S021,Tableau,83,96,56,194,87,21,Visualization,Advanced
S021,Java,88,80,76,116,78,30,Programming,Advanced
S021,SQL,61,53,53,121,91,16,Database,Intermediate
S021,Algorithms,61,80,91,108,88,4,Programming,Intermediate
S021,C++,46,44,77,113,100,20,Programming,Beginner
S021,Deep Learning,60,44,80,102,56,28,AI,Intermediate
S021,Excel,92,98,78,141,59,20,Visualization,Advanced
S022,Java,74,97,98,141,69,14,Programming,Intermediate
S022,Linux,58,68,84,94,57,8,Tools,Intermediate
S022,Tableau,91,74,50,164,81,11,Visualization,Advanced
S022,Git,55,67,66,71,56,27,Tools,Intermediate
S022,NLP,45,44,64,100,91,21,AI,Beginner
S022,Cloud Computing,73,68,69,182,50,8,Cloud,Intermediate
S022,Machine Learning,78,79,91,92,69,3,AI,Advanced
S022,Algorithms,56,44,95,141,67,7,Programming,Intermediate
S022,Excel,97,52,50,130,95,25,Visualization,Advanced
S022,Python,58,42,93,38,98,30,Programming,Intermediate
S023,Linux,68,60,87,198,68,11,Tools,Intermediate
S023,Java,66,75,59,78,69,24,Programming,Intermediate
S023,Deep Learning,87,71,56,194,91,25,AI,Advanced
S023,Computer Vision,56,52,55,177,61,29,AI,Intermediate
S023,Cyber Security,81,69,83,137,84,9,Security,Advanced
S023,Power BI,49,84,62,31,96,30,Visualization,Beginner
S023,Algorithms,69,49,57,191,63,20,Programming,Intermediate
S023,Machine Learning,92,51,81,181,70,10,AI,Advanced
S023,Python,61,67,76,145,52,16,Programming,Intermediate
S023,Excel,79,78,88,24,53,2,Visualization,Advanced
S024,Tableau,75,50,94,165,69,30,Visualization,Advanced
S024,Java,56,46,52,47,52,12,Programming,Intermediate
S024,Cloud Computing,40,82,79,57,97,29,Cloud,Beginner
S024,C++,79,48,96,12,84,29,Programming,Advanced
S024,Algorithms,45,55,58,101,57,24,Programming,Beginner
S024,Git,85,77,55,132,93,27,Tools,Advanced
S024,Excel,79,77,92,38,82,25,Visualization,Advanced
S024,Power BI,85,91,73,98,66,27,Visualization,Advanced
S024,Cyber Security,46,63,57,190,66,28,Security,Beginner
S024,Data Structures,41,44,54,102,55,12,Programming,Beginner
S025,Data Analysis,87,68,91,127,55,16,Analytics,Advanced
S025,C++,56,65,74,35,51,13,Programming,Intermediate
S025,NLP,76,71,54,77,76,24,AI,Advanced
S025,Statistics,51,82,78,20,87,30,Analytics,Intermediate
S025,Linux,49,61,60,90,83,18,Tools,Beginner
S025,Web Development,73,90,73,41,52,25,Development,Intermediate
S025,Cyber Security,85,96,66,184,90,23,Security,Advanced
S025,Java,63,80,85,170,87,10,Programming,Intermediate
S025,Computer Vision,49,43,88,165,55,15,AI,Beginner
S025,Tableau,47,75,97,96,59,11,Visualization,Beginner
S026,Git,99,57,58,191,70,24,Tools,Advanced
S026,SQL,59,58,75,46,69,26,Database,Intermediate
S026,Python,84,50,75,198,87,20,Programming,Advanced
S026,Data Structures,70,74,51,131,57,26,Programming,Intermediate
S026,NLP,78,96,56,55,88,23,AI,Advanced
S026,Deep Learning,84,88,100,108,99,25,AI,Advanced
S026,Tableau,98,63,75,33,64,21,Visualization,Advanced
S026,Computer Vision,68,77,86,105,54,7,AI,Intermediate
S026,C++,76,54,74,179,60,16,Programming,Advanced
S026,Linux,62,53,84,109,94,27,Tools,Intermediate
S027,Linux,66,51,56,71,53,3,Tools,Intermediate
S027,Git,51,63,83,122,63,29,Tools,Intermediate
S027,Deep Learning,71,42,53,53,75,24,AI,Intermediate
S027,SQL,96,83,63,51,82,19,Database,Advanced
S027,Computer Vision,60,60,84,101,87,15,AI,Intermediate
S027,C++,52,43,52,11,58,20,Programming,Intermediate
S027,Java,61,81,69,122,89,28,Programming,Intermediate
S027,Cloud Computing,42,70,93,113,55,30,Cloud,Beginner
S027,Machine Learning,79,46,69,134,88,15,AI,Advanced
S027,Python,50,93,52,12,62,12,Programming,Intermediate
S028,Computer Vision,96,60,51,137,67,18,AI,Advanced
S028,Statistics,45,50,53,188,60,4,Analytics,Beginner
S028,C++,66,87,100,74,70,14,Programming,Intermediate
S028,Machine Learning,42,92,61,186,53,18,AI,Beginner
S028,Algorithms,55,78,97,143,56,3,Programming,Intermediate
S028,Data Structures,95,79,74,135,78,2,Programming,Advanced
S028,Linux,71,55,65,171,51,16,Tools,Intermediate
S028,Deep Learning,57,97,88,86,54,22,AI,Intermediate
S028,Tableau,41,76,50,74,80,16,Visualization,Beginner
S028,Web Development,70,80,76,113,86,22,Development,Intermediate
S029,Tableau,83,56,87,37,63,2,Visualization,Advanced
S029,Data Structures,41,91,59,159,72,17,Programming,Beginner
S029,SQL,45,74,58,193,86,28,Database,Beginner
S029,Statistics,66,85,91,45,56,9,Analytics,Intermediate
S029,Git,66,100,88,85,98,14,Tools,Intermediate
S029,Data Analysis,51,54,87,49,69,1,Analytics,Intermediate
S029,C++,97,100,92,73,51,10,Programming,Advanced
S029,Cloud Computing,48,64,70,191,69,14,Cloud,Beginner
S029,NLP,65,79,93,10,63,17,AI,Intermediate
S029,Deep Learning,98,59,56,131,78,7,AI,Advanced
S030,Tableau,80,42,80,76,56,24,Visualization,Advanced
S030,Web Development,76,48,95,75,94,26,Development,Advanced
S030,Computer Vision,45,59,94,38,79,10,AI,Beginner
S030,Linux,47,51,52,47,92,23,Tools,Beginner
S030,Deep Learning,50,62,87,64,57,29,AI,Intermediate
S030,Cloud Computing,44,91,87,134,84,1,Cloud,Beginner
S030,C++,52,81,73,85,57,16,Programming,Intermediate
S030,Python,97,80,60,123,96,19,Programming,Advanced
S030,Cyber Security,41,43,78,107,63,10,Security,Beginner
S030,Power BI,59,66,95,17,70,16,Visualization,Intermediate
S031,Data Analysis,68,64,95,67,50,5,Analytics,Intermediate
S031,Deep Learning,98,63,81,137,83,10,AI,Advanced
S031,Computer Vision,69,45,68,68,70,14,AI,Intermediate
S031,Linux,81,54,79,112,51,2,Tools,Advanced
S031,NLP,54,98,78,124,80,16,AI,Intermediate
S031,Java,65,62,93,108,63,6,Programming,Intermediate
S031,Web Development,76,72,98,94,82,21,Development,Advanced
S031,C++,59,79,76,189,78,9,Programming,Intermediate
S031,Statistics,57,100,86,59,54,7,Analytics,Intermediate
S031,Algorithms,49,57,95,134,53,8,Programming,Beginner
S032,Power BI,99,55,68,126,83,6,Visualization,Advanced
S032,Python,93,43,60,189,54,13,Programming,Advanced
S032,Web Development,54,59,78,165,81,26,Development,Intermediate
S032,Data Structures,77,76,94,115,61,17,Programming,Advanced
S032,NLP,73,65,85,144,75,23,AI,Intermediate
S032,Git,97,86,67,163,55,19,Tools,Advanced
S032,Cloud Computing,63,64,83,48,51,11,Cloud,Intermediate
S032,C++,63,45,72,166,59,12,Programming,Intermediate
S032,Tableau,69,85,65,100,75,18,Visualization,Intermediate
S032,Linux,84,83,92,176,97,9,Tools,Advanced
S033,SQL,92,77,57,153,62,29,Database,Advanced
S033,Tableau,70,45,53,166,57,24,Visualization,Intermediate
S033,Cyber Security,59,87,93,133,100,17,Security,Intermediate
S033,Data Analysis,72,78,69,193,83,26,Analytics,Intermediate
S033,Machine Learning,53,98,91,112,57,6,AI,Intermediate
S033,Excel,96,42,68,194,62,6,Visualization,Advanced
S033,C++,56,43,92,93,67,13,Programming,Intermediate
S033,Cloud Computing,57,70,65,59,52,24,Cloud,Intermediate
S033,Statistics,70,88,100,92,72,18,Analytics,Intermediate
S033,Deep Learning,83,76,78,35,92,16,AI,Advanced
S034,Tableau,88,98,67,14,54,27,Visualization,Advanced
S034,NLP,62,80,72,140,96,1,AI,Intermediate
S034,Web Development,64,74,71,168,55,9,Development,Intermediate
S034,Power BI,40,77,64,31,64,10,Visualization,Beginner
S034,Python,67,75,51,140,85,29,Programming,Intermediate
S034,Excel,40,99,88,141,90,7,Visualization,Beginner
S034,C++,40,96,75,70,75,4,Programming,Beginner
S034,Data Analysis,66,77,67,101,53,6,Analytics,Intermediate
S034,Cyber Security,83,55,86,37,60,23,Security,Advanced
S034,Machine Learning,75,91,72,98,95,29,AI,Advanced
S035,Data Analysis,56,40,84,59,71,3,Analytics,Intermediate
S035,Python,94,46,93,133,96,17,Programming,Advanced
S035,Statistics,83,98,91,103,69,24,Analytics,Advanced
S035,Linux,47,68,61,107,72,17,Tools,Beginner
S035,SQL,70,55,96,46,71,1,Database,Intermediate
S035,Cloud Computing,67,41,75,55,57,27,Cloud,Intermediate
S035,C++,80,97,68,139,83,25,Programming,Advanced
S035,NLP,85,61,98,12,50,25,AI,Advanced
S035,Algorithms,76,63,52,182,50,4,Programming,Advanced
S035,Cyber Security,70,47,73,165,64,24,Security,Intermediate
S036,SQL,46,45,90,165,78,24,Database,Beginner
S036,C++,72,60,81,126,64,1,Programming,Intermediate
S036,Git,48,64,76,187,61,24,Tools,Beginner
S036,Linux,74,88,84,44,51,18,Tools,Intermediate
S036,Statistics,58,40,78,98,74,4,Analytics,Intermediate
S036,Machine Learning,79,97,58,102,51,26,AI,Advanced
S036,Python,75,44,65,166,88,3,Programming,Advanced
S036,Tableau,50,84,57,168,87,28,Visualization,Intermediate
S036,NLP,72,79,79,87,63,5,AI,Intermediate
S036,Java,76,57,63,42,100,25,Programming,Advanced
S037,Data Structures,54,88,86,48,89,17,Programming,Intermediate
S037,Computer Vision,94,54,63,25,57,5,AI,Advanced
S037,NLP,97,56,71,46,90,16,AI,Advanced
S037,Linux,59,76,88,150,100,6,Tools,Intermediate
S037,Excel,44,50,53,56,52,20,Visualization,Beginner
S037,Git,76,69,99,59,95,10,Tools,Advanced
S037,Cyber Security,45,80,81,135,69,13,Security,Beginner
S037,C++,91,100,61,104,91,3,Programming,Advanced
S037,Tableau,72,79,89,172,61,13,Visualization,Intermediate
S037,Cloud Computing,74,51,83,48,66,20,Cloud,Intermediate
S038,Linux,71,44,80,101,90,5,Tools,Intermediate
S038,Computer Vision,65,58,94,70,82,1,AI,Intermediate
S038,Git,59,79,50,117,83,12,Tools,Intermediate
S038,SQL,64,70,66,165,73,3,Database,Intermediate
S038,Machine Learning,52,46,100,102,64,22,AI,Intermediate
S038,C++,66,68,66,36,89,25,Programming,Intermediate
S038,Statistics,88,50,77,77,92,23,Analytics,Advanced
S038,Data Structures,47,45,64,138,73,23,Programming,Beginner
S038,NLP,84,88,67,146,51,7,AI,Advanced
S038,Tableau,61,92,71,122,91,22,Visualization,Intermediate
S039,Python,71,44,65,27,59,20,Programming,Intermediate
S039,Algorithms,79,68,51,173,80,25,Programming,Advanced
S039,Excel,67,49,65,122,80,22,Visualization,Intermediate
S039,Computer Vision,71,98,98,143,92,28,AI,Intermediate
S039,Cloud Computing,64,65,79,21,68,19,Cloud,Intermediate
S039,Data Analysis,90,95,83,162,88,23,Analytics,Advanced
S039,Deep Learning,98,84,54,194,63,4,AI,Advanced
S039,C++,53,42,87,141,61,24,Programming,Intermediate
S039,SQL,79,43,74,149,57,22,Database,Advanced
S039,Power BI,89,61,94,196,100,22,Visualization,Advanced
S040,Tableau,61,49,68,41,79,28,Visualization,Intermediate
S040,Linux,58,45,59,91,60,4,Tools,Intermediate
S040,Web Development,64,54,89,185,100,7,Development,Intermediate
S040,Statistics,87,89,58,98,69,24,Analytics,Advanced
S040,Data Analysis,99,80,77,12,75,6,Analytics,Advanced
S040,SQL,42,58,87,190,67,13,Database,Beginner
S040,Data Structures,95,61,87,23,64,10,Programming,Advanced
S040,Excel,97,67,57,137,98,29,Visualization,Advanced
S040,NLP,43,52,94,111,100,18,AI,Beginner
S040,Cyber Security,43,74,62,180,73,12,Security,Beginner
S041,Excel,71,69,63,79,69,19,Visualization,Intermediate
S041,Deep Learning,65,51,70,163,69,29,AI,Intermediate
S041,Computer Vision,91,53,81,15,76,21,AI,Advanced
S041,SQL,69,48,94,52,64,27,Database,Intermediate
S041,NLP,71,52,82,173,80,26,AI,Intermediate
S041,Data Analysis,43,60,72,49,73,15,Analytics,Beginner
S041,Machine Learning,61,79,99,145,54,17,AI,Intermediate
S041,Statistics,62,81,53,80,99,9,Analytics,Intermediate
S041,Java,56,79,50,162,59,16,Programming,Intermediate
S041,Cloud Computing,95,69,58,12,75,11,Cloud,Advanced
S042,Python,88,64,50,111,55,14,Programming,Advanced
S042,Deep Learning,40,84,71,109,56,1,AI,Beginner
S042,SQL,61,67,100,48,59,2,Database,Intermediate
S042,Cyber Security,61,74,95,152,74,23,Security,Intermediate
S042,Data Analysis,46,81,71,138,66,27,Analytics,Beginner
S042,Power BI,89,52,54,41,69,21,Visualization,Advanced
S042,C++,56,61,75,49,56,16,Programming,Intermediate
S042,Algorithms,96,81,69,153,77,3,Programming,Advanced
S042,Machine Learning,51,50,62,58,86,5,AI,Intermediate
S042,Computer Vision,42,70,72,178,75,6,AI,Beginner
S043,Excel,68,75,55,47,71,29,Visualization,Intermediate
S043,Java,84,48,50,172,61,25,Programming,Advanced
S043,Git,47,79,70,140,68,25,Tools,Beginner
S043,Tableau,90,51,85,79,56,18,Visualization,Advanced
S043,Linux,41,89,69,198,95,19,Tools,Beginner
S043,Statistics,98,79,88,135,96,20,Analytics,Advanced
S043,Web Development,63,85,97,123,78,8,Development,Intermediate
S043,Python,80,73,68,18,78,4,Programming,Advanced
S043,SQL,92,69,79,188,83,2,Database,Advanced
S043,Deep Learning,45,68,64,52,81,12,AI,Beginner
S044,Git,50,79,81,19,64,16,Tools,Intermediate
S044,Data Analysis,49,86,55,176,98,8,Analytics,Beginner
S044,Algorithms,64,55,56,70,89,25,Programming,Intermediate
S044,NLP,80,89,89,47,52,10,AI,Advanced
S044,Deep Learning,85,97,84,59,73,15,AI,Advanced
S044,SQL,96,87,95,107,98,13,Database,Advanced
S044,Web Development,51,60,78,166,68,11,Development,Intermediate
S044,Cyber Security,58,98,88,29,81,11,Security,Intermediate
S044,Linux,44,42,50,92,74,28,Tools,Beginner
S044,Machine Learning,42,56,84,169,65,7,AI,Beginner
S045,Power BI,81,61,92,11,89,21,Visualization,Advanced
S045,Python,54,44,85,165,59,12,Programming,Intermediate
S045,Cyber Security,88,52,92,101,76,29,Security,Advanced
S045,SQL,47,74,79,11,85,5,Database,Beginner
S045,NLP,54,68,73,74,87,21,AI,Intermediate
S045,Statistics,53,61,79,153,81,2,Analytics,Intermediate
S045,Excel,96,71,88,188,78,7,Visualization,Advanced
S045,Linux,86,59,72,153,82,5,Tools,Advanced
S045,Git,63,100,59,125,92,30,Tools,Intermediate
S045,Algorithms,78,65,73,157,73,29,Programming,Advanced
S046,Statistics,81,99,71,106,89,11,Analytics,Advanced
S046,Java,44,93,84,143,56,19,Programming,Beginner
S046,Power BI,46,79,71,22,61,30,Visualization,Beginner
S046,SQL,59,97,80,59,64,15,Database,Intermediate
S046,Data Structures,68,47,87,19,70,26,Programming,Intermediate
S046,Machine Learning,83,50,99,92,56,4,AI,Advanced
S046,Git,58,100,100,99,88,5,Tools,Intermediate
S046,Algorithms,55,79,54,99,94,22,Programming,Intermediate
S046,Data Analysis,60,87,87,15,75,8,Analytics,Intermediate
S046,Cloud Computing,71,81,90,104,93,21,Cloud,Intermediate
S047,Linux,62,79,63,29,87,19,Tools,Intermediate
S047,Cloud Computing,63,41,76,188,67,22,Cloud,Intermediate
S047,Computer Vision,67,81,90,146,54,20,AI,Intermediate
S047,Data Structures,49,94,70,29,56,17,Programming,Beginner
S047,Algorithms,63,50,50,50,96,30,Programming,Intermediate
S047,NLP,55,58,76,175,68,3,AI,Intermediate
S047,Data Analysis,98,70,74,67,56,11,Analytics,Advanced
S047,SQL,78,73,98,117,96,26,Database,Advanced
S047,Statistics,89,54,65,131,67,3,Analytics,Advanced
